idx,concentration_level,day,lot,group_id,T_ambient,RH,C_f0,true_I_900,alpha_group,beta_group
43,5,2,2,2,28.795609,59.655792,13.44086,96.532898,19.935452,25.366795
44,5,2,2,2,28.068117,60.171211,13.44086,96.510414,19.935452,25.366795
45,0,3,3,3,29.837503,51.310997,0,26.568579,20.694262,26.568579
46,0,3,3,3,30.944878,53.377258,0,26.568579,20.694262,26.568579
47,0,3,3,3,30.06251,54.574196,0,26.568579,20.694262,26.568579
48,0.5,3,3,3,29.961195,53.98381,1.3440861,33.910831,20.694262,26.568579
49,0.5,3,3,3,29.968973,53.143768,1.3440861,33.91087,20.694262,26.568579
50,0.5,3,3,3,29.939428,52.176308,1.3440861,33.910721,20.694262,26.568579
51,1,3,3,3,29.935328,52.202072,2.6881721,41.25193,20.694262,26.568579
52,1,3,3,3,30.186838,52.678467,2.6881721,41.25449,20.694262,26.568579
53,1,3,3,3,30.547882,49.572075,2.6881721,41.258118,20.694262,26.568579
54,2,3,3,3,30.282206,51.269833,5.3763442,55.938713,20.694262,26.568579
55,2,3,3,3,30.343014,51.989258,5.3763442,55.939949,20.694262,26.568579
56,2,3,3,3,29.595276,51.681755,5.3763442,55.924534,20.694262,26.568579
57,5,3,3,3,29.515959,52.188824,13.44086,99.923462,20.694262,26.568579
58,5,3,3,3,30.876688,51.425686,13.44086,99.994881,20.694262,26.568579
59,5,3,3,3,29.668451,50.867043,13.44086,99.931671,20.694262,26.568579
60,0,4,4,4,30.471601,52.70372,0,25.499552,19.406174,25.499552
61,0,4,4,4,30.025393,53.894222,0,25.499552,19.406174,25.499552
62,0,4,4,4,30.115387,55.392365,0,25.499552,19.406174,25.499552
63,0.5,4,4,4,29.499348,57.788799,1.3440861,32.381363,19.406174,25.499552
64,0.5,4,4,4,30.88516,52.352062,1.3440861,32.387955,19.406174,25.499552
65,0.5,4,4,4,30.068932,54.153397,1.3440861,32.384117,19.406174,25.499552
66,1,4,4,4,31.144852,53.618073,2.6881721,39.27795,19.406174,25.499552
67,1,4,4,4,29.354692,55.534599,2.6881721,39.260887,19.406174,25.499552
68,1,4,4,4,30.323963,53.505291,2.6881721,39.27029,19.406174,25.499552
69,2,4,4,4,30.730724,55.688206,5.3763442,53.045353,19.406174,25.499552
70,2,4,4,4,30.461945,57.784279,5.3763442,53.04026,19.406174,25.499552
71,2,4,4,4,30.583008,49.338596,5.3763442,53.042561,19.406174,25.499552
72,5,4,4,4,29.306513,54.081985,13.44086,94.265488,19.406174,25.499552
73,5,4,4,4,30.224125,55.361084,13.44086,94.311798,19.406174,25.499552
74,5,4,4,4,30.164427,54.306519,13.44086,94.308846,19.406174,25.499552
75,0,5,5,5,29.878078,55.013569,0,25.816099,20.75589,25.816099
76,0,5,5,5,30.342793,52.395958,0,25.816099,20.75589,25.816099
77,0,5,5,5,29.83271,58.497726,0,25.816099,20.75589,25.816099
78,0.5,5,5,5,29.813755,54.517712,1.3440861,33.201565,20.75589,25.816099
79,0.5,5,5,5,30.017078,55.414318,1.3440861,33.202412,20.75589,25.816099
80,0.5,5,5,5,30.525923,58.299213,1.3440861,33.204494,20.75589,25.816099
81,1,5,5,5,29.840799,58.179184,2.6881721,40.586555,20.75589,25.816099
82,1,5,5,5,29.608543,55.585548,2.6881721,40.584599,20.75589,25.816099
83,1,5,5,5,29.061596,57.847557,2.6881721,40.57991,20.75589,25.816099
84,2,5,5,5,29.38199,56.841022,5.3763442,55.346268,20.75589,25.816099
85,2,5,5,5,29.404902,56.670746,5.3763442,55.346661,20.75589,25.816099
86,2,5,5,5,29.603588,52.092014,5.3763442,55.350075,20.75589,25.816099
87,5,5,5,5,29.491314,56.746731,13.44086,99.621742,20.75589,25.816099
88,5,5,5,5,29.559095,53.726212,13.44086,99.624741,20.75589,25.816099
89,5,5,5,5,31.214462,56.628677,13.44086,99.695129,20.75589,25.816099
90,0,6,6,6,28.09543,52.752819,0,23.503054,18.321276,23.503054
91,0,6,6,6,28.348774,54.714321,0,23.503054,18.321276,23.503054
92,0,6,6,6,28.132929,51.597672,0,23.503054,18.321276,23.503054
93,0.5,6,6,6,27.087814,53.255634,1.3440861,29.926678,18.321276,23.503054
94,0.5,6,6,6,28.206856,56.536568,1.3440861,29.93504,18.321276,23.503054
95,0.5,6,6,6,27.986668,55.462929,1.3440861,29.933422,18.321276,23.503054
96,1,6,6,6,27.824863,52.950237,2.6881721,36.360035,18.321276,23.503054
97,1,6,6,6,27.744638,53.916679,2.6881721,36.358841,18.321276,23.503054
98,1,6,6,6,27.844259,58.423084,2.6881721,36.360325,18.321276,23.503054
99,2,6,6,6,28.335459,52.234558,5.3763442,49.226589,18.321276,23.503054
100,2,6,6,6,27.471256,54.068268,5.3763442,49.200722,18.321276,23.503054
101,2,6,6,6,27.958841,54.024078,5.3763442,49.21542,18.321276,23.503054
102,5,6,6,6,27.791033,52.471321,13.44086,87.725929,18.321276,23.503054
103,5,6,6,6,28.803211,55.015343,13.44086,87.802299,18.321276,23.503054
104,5,6,6,6,27.681904,52.791389,13.44086,87.717514,18.321276,23.503054
105,0,7,7,7,28.974632,53.325165,0,24.951101,18.542164,24.951101
106,0,7,7,7,29.390402,54.432518,0,24.951101,18.542164,24.951101
107,0,7,7,7,29.439657,52.741379,0,24.951101,18.542164,24.951101
108,0.5,7,7,7,29.53966,57.269447,1.3440861,31.525759,18.542164,24.951101
109,0.5,7,7,7,30.242191,56.168274,1.3440861,31.529036,18.542164,24.951101
110,0.5,7,7,7,29.076439,55.207729,1.3440861,31.523542,18.542164,24.951101
111,1,7,7,7,29.256393,54.236774,2.6881721,38.096874,18.542164,24.951101
112,1,7,7,7,28.772182,59.238018,2.6881721,38.092163,18.542164,24.951101
113,1,7,7,7,30.200315,54.212093,2.6881721,38.105782,18.542164,24.951101
114,2,7,7,7,29.527403,53.027554,5.3763442,51.244392,18.542164,24.951101
115,2,7,7,7,29.594696,58.076698,5.3763442,51.245682,18.542164,24.951101
116,2,7,7,7,29.848387,54.257259,5.3763442,51.250511,18.542164,24.951101
117,5,7,7,7,29.643896,54.237186,13.44086,90.661804,18.542164,24.951101
118,5,7,7,7,29.434107,55.739479,13.44086,90.651459,18.542164,24.951101
119,5,7,7,7,29.811504,52.70591,13.44086,90.670013,18.542164,24.951101
120,0,8,8,8,29.421782,50.488338,0,25.082558,19.922401,25.082558
121,0,8,8,8,30.119207,52.360798,0,25.082558,19.922401,25.082558
122,0,8,8,8,31.270336,53.036423,0,25.082558,19.922401,25.082558
123,0.5,8,8,8,31.201736,52.559299,1.3440861,32.188084,19.922401,25.082558
124,0.5,8,8,8,30.311466,52.715553,1.3440861,32.185097,19.922401,25.082558
125,0.5,8,8,8,30.822399,48.09726,1.3440861,32.186825,19.922401,25.082558
126,1,8,8,8,29.916878,52.430435,2.6881721,39.284344,19.922401,25.082558
127,1,8,8,8,30.670595,52.884724,2.6881721,39.289532,19.922401,25.082558
128,1,8,8,8,30.375208,50.51997,2.6881721,39.287518,19.922401,25.082558
129,2,8,8,8,30.68165,50.416637,5.3763442,53.494404,19.922401,25.082558
130,2,8,8,8,30.194801,49.290989,5.3763442,53.487682,19.922401,25.082558
131,2,8,8,8,30.936232,51.092529,5.3763442,53.497864,19.922401,25.082558
132,5,8,8,8,30.526028,52.299015,13.44086,96.087929,19.922401,25.082558
133,5,8,8,8,29.740088,50.653358,13.44086,96.059624,19.922401,25.082558
134,5,8,8,8,30.521488,49.837082,13.44086,96.087769,19.922401,25.082558
135,0,9,9,9,31.900997,52.428539,0,25.693254,20.542496,25.693254
136,0,9,9,9,31.485546,55.809299,0,25.693254,20.542496,25.693254
137,0,9,9,9,32.710152,56.311188,0,25.693254,20.542496,25.693254
138,0.5,9,9,9,32.924847,49.524899,1.3440861,33.005314,20.542496,25.693254
139,0.5,9,9,9,32.62318,51.363098,1.3440861,33.004093,20.542496,25.693254
140,0.5,9,9,9,32.150265,55.046177,1.3440861,33.002144,20.542496,25.693254
141,1,9,9,9,32.493759,53.848312,2.6881721,40.313187,20.542496,25.693254
142,1,9,9,9,32.139862,50.425777,2.6881721,40.310249,20.542496,25.693254
143,1,9,9,9,32.945301,52.471992,2.6881721,40.316872,20.542496,25.693254
144,2,9,9,9,32.010437,53.916512,5.3763442,54.922153,20.542496,25.693254
145,2,9,9,9,31.707783,49.85577,5.3763442,54.916981,20.542496,25.693254
146,2,9,9,9,33.319576,50.937599,5.3763442,54.943756,20.542496,25.693254
147,5,9,9,9,32.440662,53.815365,13.44086,98.759941,20.542496,25.693254
148,5,9,9,9,31.932516,54.477173,13.44086,98.737907,20.542496,25.693254
149,5,9,9,9,31.936319,49.776047,13.44086,98.738075,20.542496,25.693254
150,0,10,10,10,31.620253,59.505764,0,23.917046,19.280188,23.917046
151,0,10,10,10,30.880302,59.273952,0,23.917046,19.280188,23.917046
152,0,10,10,10,31.065851,61.951519,0,23.917046,19.280188,23.917046
153,0.5,10,10,10,31.558649,59.852432,1.3440861,30.784733,19.280188,23.917046
154,0.5,10,10,10,31.473166,59.737114,1.3440861,30.784428,19.280188,23.917046
155,0.5,10,10,10,31.810717,61.639061,1.3440861,30.785625,19.280188,23.917046
156,1,10,10,10,30.89817,64.072021,2.6881721,37.647038,19.280188,23.917046
157,1,10,10,10,31.328028,60.620167,2.6881721,37.650177,19.280188,23.917046
158,1,10,10,10,31.682833,63.042831,2.6881721,37.652721,19.280188,23.917046
159,2,10,10,10,29.886217,58.889069,5.3763442,51.359119,19.280188,23.917046
160,2,10,10,10,31.699183,60.478809,5.3763442,51.386215,19.280188,23.917046
161,2,10,10,10,30.851625,61.341541,5.3763442,51.373814,19.280188,23.917046
162,5,10,10,10,31.658646,60.282097,13.44086,92.568405,19.280188,23.917046
163,5,10,10,10,31.391562,60.824314,13.44086,92.558456,19.280188,23.917046
164,5,10,10,10,30.981871,61.726559,13.44086,92.542976,19.280188,23.917046
165,0,11,11,11,29.675453,50.761074,0,25.811228,18.782537,25.811228
166,0,11,11,11,29.967451,49.144272,0,25.811228,18.782537,25.811228
167,0,11,11,11,31.102329,54.536934,0,25.811228,18.782537,25.811228
168,0.5,11,11,11,30.474184,44.292328,1.3440861,32.523251,18.782537,25.811228
169,0.5,11,11,11,31.103853,52.279202,1.3440861,32.524826,18.782537,25.811228
170,0.5,11,11,11,30.144581,49.598408,1.3440861,32.522408,18.782537,25.811228
171,1,11,11,11,30.422792,47.315876,2.6881721,39.234631,18.782537,25.811228
172,1,11,11,11,30.600283,54.104385,2.6881721,39.235535,18.782537,25.811228
173,1,11,11,11,30.964954,51.221157,2.6881721,39.23737,18.782537,25.811228
174,2,11,11,11,29.941639,53.80875,5.3763442,52.651447,18.782537,25.811228
175,2,11,11,11,30.018578,51.279278,5.3763442,52.652256,18.782537,25.811228
176,2,11,11,11,30.1429,50.773411,5.3763442,52.653557,18.782537,25.811228
177,5,11,11,11,29.481256,50.228939,13.44086,92.885567,18.782537,25.811228
178,5,11,11,11,30.600719,48.53133,13.44086,92.915703,18.782537,25.811228
179,5,11,11,11,30.497637,50.393692,13.44086,92.912987,18.782537,25.811228
180,0,12,12,12,26.77136,54.796696,0,25.964602,21.27223,25.964602
181,0,12,12,12,25.807529,54.295452,0,25.964602,21.27223,25.964602
182,0,12,12,12,26.39278,53.860294,0,25.964602,21.27223,25.964602
183,0.5,12,12,12,26.901686,54.078846,1.3440861,33.55196,21.27223,25.964602
184,0.5,12,12,12,26.9035,51.744141,1.3440861,33.551968,21.27223,25.964602
185,0.5,12,12,12,26.549282,54.330811,1.3440861,33.550724,21.27223,25.964602
186,1,12,12,12,26.469542,52.983768,2.6881721,41.135715,21.27223,25.964602
187,1,12,12,12,26.508917,52.708149,2.6881721,41.135994,21.27223,25.964602
188,1,12,12,12,27.188002,53.812313,2.6881721,41.140759,21.27223,25.964602
189,2,12,12,12,27.513006,52.753387,5.3763442,56.319157,21.27223,25.964602
190,2,12,12,12,26.469275,57.202667,5.3763442,56.304466,21.27223,25.964602
191,2,12,12,12,26.614288,52.110203,5.3763442,56.306545,21.27223,25.964602
192,5,12,12,12,26.001812,56.961224,13.44086,101.7771,21.27223,25.964602
193,5,12,12,12,27.244118,53.248013,13.44086,101.82281,21.27223,25.964602
194,5,12,12,12,26.884083,54.406132,13.44086,101.80982,21.27223,25.964602
195,0,13,13,13,29.727121,51.873837,0,25.057518,17.729116,25.057518
196,0,13,13,13,29.516632,54.308521,0,25.057518,17.729116,25.057518
197,0,13,13,13,29.884314,56.512115,0,25.057518,17.729116,25.057518
198,0.5,13,13,13,29.205706,56.224586,1.3440861,31.335596,17.729116,25.057518
199,0.5,13,13,13,29.256008,55.763451,1.3440861,31.335842,17.729116,25.057518
200,0.5,13,13,13,29.497784,53.26458,1.3440861,31.337013,17.729116,25.057518
201,1,13,13,13,30.634153,55.948326,2.6881721,37.626408,17.729116,25.057518
202,1,13,13,13,29.518724,51.634487,2.6881721,37.61586,17.729116,25.057518
203,1,13,13,13,29.94927,53.121185,2.6881721,37.619991,17.729116,25.057518
204,2,13,13,13,28.920366,54.250618,5.3763442,50.158825,17.729116,25.057518
205,2,13,13,13,29.639332,54.826038,5.3763442,50.173016,17.729116,25.057518
206,2,13,13,13,30.657354,54.95052,5.3763442,50.192383,17.729116,25.057518
207,5,13,13,13,29.878029,53.55769,13.44086,87.829338,17.729116,25.057518
208,5,13,13,13,29.847315,54.486946,13.44086,87.82782,17.729116,25.057518
209,5,13,13,13,29.766933,55.6208,13.44086,87.823837,17.729116,25.057518
210,0,14,14,14,28.13681,55.236633,0,24.190111,21.495323,24.190111
211,0,14,14,14,28.126226,52.872505,0,24.190111,21.495323,24.190111
212,0,14,14,14,27.078075,55.278164,0,24.190111,21.495323,24.190111
213,0.5,14,14,14,27.25379,56.548889,1.3440861,31.845034,21.495323,24.190111
214,0.5,14,14,14,26.980246,55.681755,1.3440861,31.843918,21.495323,24.190111
215,0.5,14,14,14,28.270079,54.080894,1.3440861,31.849066,21.495323,24.190111
216,1,14,14,14,26.827454,54.446487,2.6881721,39.495781,21.495323,24.190111
217,1,14,14,14,26.907633,57.117725,2.6881721,39.496445,21.495323,24.190111
218,1,14,14,14,26.3846,52.889507,2.6881721,39.492069,21.495323,24.190111
219,2,14,14,14,27.047909,54.133732,5.3763442,54.802277,21.495323,24.190111
220,2,14,14,14,26.901302,54.67688,5.3763442,54.799835,21.495323,24.190111
221,2,14,14,14,26.575901,58.877022,5.3763442,54.794365,21.495323,24.190111
222,5,14,14,14,27.222666,53.105659,13.44086,100.70461,21.495323,24.190111
223,5,14,14,14,26.813873,57.39357,13.44086,100.68713,21.495323,24.190111
224,5,14,14,14,27.069403,55.50695,13.44086,100.69809,21.495323,24.190111
225,0,15,15,15,31.432764,59.465286,0,25.578548,20.659624,25.578548
226,0,15,15,15,31.6889,56.967716,0,25.578548,20.659624,25.578548
227,0,15,15,15,31.979345,54.296539,0,25.578548,20.659624,25.578548
228,0.5,15,15,15,32.160667,54.482586,1.3440861,32.945335,20.659624,25.578548
229,0.5,15,15,15,31.901871,57.41922,1.3440861,32.944431,20.659624,25.578548
230,0.5,15,15,15,31.50481,53.546577,1.3440861,32.943027,20.659624,25.578548
231,1,15,15,15,31.920567,58.034115,2.6881721,40.309883,20.659624,25.578548
232,1,15,15,15,31.775148,57.745979,2.6881721,40.308857,20.659624,25.578548
233,1,15,15,15,32.068443,52.721458,2.6881721,40.310921,20.659624,25.578548
234,2,15,15,15,32.139206,54.014931,5.3763442,55.041973,20.659624,25.578548
235,2,15,15,15,31.212969,55.805267,5.3763442,55.028652,20.659624,25.578548
236,2,15,15,15,31.828945,53.613903,5.3763442,55.037571,20.659624,25.578548
237,5,15,15,15,32.05761,54.087589,13.44086,99.214851,20.659624,25.578548
238,5,15,15,15,30.892962,54.617527,13.44086,99.171387,20.659624,25.578548
239,5,15,15,15,31.904127,56.437809,13.44086,99.209251,20.659624,25.578548
240,0,16,16,16,30.514023,50.701134,0,25.480747,21.085348,25.480747
241,0,16,16,16,30.458956,49.636555,0,25.480747,21.085348,25.480747
242,0,16,16,16,31.06221,47.990376,0,25.480747,21.085348,25.480747
243,0.5,16,16,16,30.563602,50.096653,1.3440861,33.01812,21.085348,25.480747
244,0.5,16,16,16,31.606857,50.505856,1.3440861,33.020927,21.085348,25.480747
245,0.5,16,16,16,31.418928,53.94949,1.3440861,33.020432,21.085348,25.480747
246,1,16,16,16,30.345726,48.449783,2.6881721,40.553875,21.085348,25.480747
247,1,16,16,16,31.154598,52.13982,2.6881721,40.558311,21.085348,25.480747
248,1,16,16,16,31.03406,48.733223,2.6881721,40.557659,21.085348,25.480747
249,2,16,16,16,31.102028,53.919487,5.3763442,55.633671,21.085348,25.480747
250,2,16,16,16,30.571251,50.807461,5.3763442,55.627819,21.085348,25.480747
251,2,16,16,16,31.745255,53.126316,5.3763442,55.640591,21.085348,25.480747
252,5,16,16,16,30.925325,51.329941,13.44086,100.84427,21.085348,25.480747
253,5,16,16,16,31.302742,48.857765,13.44086,100.85484,21.085348,25.480747
254,5,16,16,16,29.728226,52.349907,13.44086,100.80962,21.085348,25.480747
255,0,17,17,17,29.244661,61.344761,0,25.414564,19.746717,25.414564
256,0,17,17,17,30.398481,64.247498,0,25.414564,19.746717,25.414564
257,0,17,17,17,30.243095,60.044392,0,25.414564,19.746717,25.414564
258,0.5,17,17,17,30.238468,63.149914,1.3440861,32.434635,19.746717,25.414564
259,0.5,17,17,17,30.444235,59.089035,1.3440861,32.435505,19.746717,25.414564
260,0.5,17,17,17,29.580112,59.656391,1.3440861,32.431797,19.746717,25.414564
261,1,17,17,17,29.275909,61.415478,2.6881721,39.445599,19.746717,25.414564
262,1,17,17,17,29.443624,67.13269,2.6881721,39.447086,19.746717,25.414564
263,1,17,17,17,28.434027,63.968643,2.6881721,39.437973,19.746717,25.414564
264,2,17,17,17,29.57539,64.452682,5.3763442,53.478825,19.746717,25.414564
265,2,17,17,17,29.941683,60.840218,5.3763442,53.485264,19.746717,25.414564
266,2,17,17,17,30.25675,63.337791,5.3763442,53.490719,19.746717,25.414564
267,5,17,17,17,29.888605,63.170387,13.44086,95.563828,19.746717,25.414564
268,5,17,17,17,30.826536,62.768974,13.44086,95.605148,19.746717,25.414564
269,5,17,17,17,30.333418,61.16983,13.44086,95.583633,19.746717,25.414564
270,0,18,18,18,30.450851,61.504307,0,24.948355,18.899303,24.948355
271,0,18,18,18,30.337242,59.699051,0,24.948355,18.899303,24.948355
272,0,18,18,18,30.958153,58.426544,0,24.948355,18.899303,24.948355
273,0.5,18,18,18,30.854815,60.127445,1.3440861,31.666956,18.899303,24.948355
274,0.5,18,18,18,32.146805,58.107391,1.3440861,31.672071,18.899303,24.948355
275,0.5,18,18,18,31.144424,56.382336,1.3440861,31.668127,18.899303,24.948355
276,1,18,18,18,30.408609,57.926247,2.6881721,38.38118,18.899303,24.948355
277,1,18,18,18,30.965761,60.254848,2.6881721,38.385769,18.899303,24.948355
278,1,18,18,18,30.853642,61.788017,2.6881721,38.384853,18.899303,24.948355
279,2,18,18,18,31.392002,60.016598,5.3763442,51.827267,18.899303,24.948355
280,2,18,18,18,31.498903,58.067039,5.3763442,51.828987,18.899303,24.948355
281,2,18,18,18,31.297508,61.714226,5.3763442,51.825741,18.899303,24.948355
282,5,18,18,18,30.269266,57.212708,13.44086,92.074806,18.899303,24.948355
283,5,18,18,18,31.452755,59.929977,13.44086,92.125061,18.899303,24.948355
284,5,18,18,18,30.833344,58.705978,13.44086,92.099083,18.899303,24.948355
285,0,19,19,19,32.98481,46.110836,0,24.06616,20.891279,24.06616
286,0,19,19,19,31.338501,50.067745,0,24.06616,20.891279,24.06616
287,0,19,19,19,32.954578,49.986332,0,24.06616,20.891279,24.06616
288,0.5,19,19,19,31.537939,50.31012,1.3440861,31.539541,20.891279,24.06616
289,0.5,19,19,19,31.845278,52.607613,1.3440861,31.540304,20.891279,24.06616
290,0.5,19,19,19,32.136753,50.357666,1.3440861,31.541019,20.891279,24.06616
291,1,19,19,19,31.480417,52.335556,2.6881721,39.01228,20.891279,24.06616
292,1,19,19,19,32.616837,52.479755,2.6881721,39.017864,20.891279,24.06616
293,1,19,19,19,31.264469,51.696899,2.6881721,39.011189,20.891279,24.06616
294,2,19,19,19,32.273079,50.347855,5.3763442,53.964828,20.891279,24.06616
295,2,19,19,19,31.323196,48.258976,5.3763442,53.955315,20.891279,24.06616
296,2,19,19,19,32.012321,53.012558,5.3763442,53.962254,20.891279,24.06616
297,5,19,19,19,32.036728,51.29142,13.44086,98.794823,20.891279,24.06616
298,5,19,19,19,31.208496,54.303303,13.44086,98.773369,20.891279,24.06616
299,5,19,19,19,31.511856,49.936798,13.44086,98.781311,20.891279,24.06616
